"slug","refInterna","nome","concelho","estado","promotor","tipologias","conclusaoAno","conclusaoMes","conclusao","preco_m2","precoPedido","notas","link","lat","lng","isEmpreendimento","docs","ownerNome","ownerTelefone","ownerTelemovel","contactos"
"apa53387---madalena-vista-mar","","APA_53387 - MADALENA VISTA MAR","VILA NOVA DE GAIA","licenciado","NOSSO CAPITAL","T1 / T2 / T3","2029","12","2029","","","Apartamentos T2 e T3
Só está Internamente, promotor não deixa exportar","https://nossocapital.pt","41.10759126658638","-8.654901852935241","1","[{""title"":""Informação"",""type"":""pdf"",""url"":""https://s.craft.me/tgQkTSj1n8yiYL""}]","","","",""
"herdade-de-vilar","","HERDADE DE VILAR","VILA NOVA DE GAIA","licenciado","CONSFLY","T0 / T1 / T2","2028","12","2028","","","Apartamentos T0/T1/T2
Podemos comercializar.","https://herdadevilar.com","41.08653343602931","-8.623769513683161","1","[{""title"":""Informação"",""type"":""pdf"",""url"":""https://s.craft.me/dmDJVIe7uNaesQ""}]","","","",""
"cas53524---foz-nature","","CAS_53524 - FOZ NATURE","PORTO","em_construcao","INSPIRED ORBIT","T3 / T4 / T5","2027","5","2027","","","Apartamentos / Moradias T3/T4/T5
CONCLUSÃO MAIO 2027
Só está Internamente, não podemos exportar","https://foznature.pt","41.15107803555791","-8.668082879521076","1","[{""title"":""Informações"",""type"":""pdf"",""url"":""https://s.craft.me/l71lF1rsKKLhBZ""}]","","","",""
"apa52854---the-breeze","","APA_52854 - THE BREEZE","VILA NOVA DE GAIA","em_construcao","CASTRO GROUP","T2 | T3","2026","3","2026","","","Apartamentos T3","https://www.thebreeze.pt","41.1238635424034","-8.665992065583229","1","[{""title"":""Informação"",""type"":""pdf"",""url"":""https://s.craft.me/djlSJXS5n8joCN""}]","","","",""
"apa52820---azuaga-68--ernesto-65","","APA_52820 - AZUAGA 68 / ERNESTO 65","VILA NOVA DE GAIA","em_construcao","RED DOT","T1 / T2","2026","7","2026","","","Apartamentos T1/T2","https://www.garveturproperties.com/detalhes-do-empreendimento/apartamentos-t1-e-t2-junto-ao-rio-em-vila-nova-de-gaia/21686025","41.13685625316915","-8.606250889181755","1","[{""title"":""Informações"",""type"":""pdf"",""url"":""https://s.craft.me/jV314alZU6VLLq""},{""title"":""Site Promotor"",""type"":""pdf"",""url"":""https://www.azuaga68.pt""}]","","","",""
"cas52875---aurios","","CAS_52875 - AURIOS","PORTO","em_construcao","EMERGE","T3 / T4","2026","3","2026","","","Apartamentos / Moradias T3/T4
Só está publicado internamente","https://aurios.pt/pt/","41.14310044431507","-8.587978792886304","1","[{""title"":""Informações"",""type"":""pdf"",""url"":""https://s.craft.me/jt4BTntD9NBorK""}]","","","",""
"apa52784---douro-nobilis","","APA_52784 - DOURO NOBILIS","VILA NOVA DE GAIA","em_construcao","REVITO","T0 / T1 / T2 / T3 / T4","2026","3","2026","","","Aparatemnto T4 Duplex
Neste momento só tem disponível um T4 duplex","https://www.garveturproperties.com/detalhes-do-imovel/apartamento-t4-duplex-em-empreendimento-com-vista-rio-em-vila-nova-de-gaia/21658603","41.13232098185415","-8.625137874362425","1","[{""title"":"""",""type"":""pdf"",""url"":""https://s.craft.me/UJX1rpm2uGU6EZ""},{""title"":""Site Promotor"",""type"":""pdf"",""url"":""https://revito.pt""}]","","","",""
"apa52936---douro-nobilis-ii","","APA_52936 - DOURO NOBILIS II","VILA NOVA DE GAIA","em_construcao","REVITO","T0 / T1 / T2 / T3 / T4","2026","12","2026","","","Aparatemnto T4 Duplex
CONCLUSÃO PREVISTA PARA SETEMBRO 2026","https://www.garveturproperties.com/detalhes-do-imovel/apartamento-t4-duplex-com-vista-rio-em-vila-nova-de-gaia/22131069","41.13327451853728","-8.625116416690297","1","[{""title"":""Informações"",""type"":""pdf"",""url"":""https://s.craft.me/QlATe2a8WJXSKQ""},{""title"":""Site promotor"",""type"":""pdf"",""url"":""https://revito.pt""}]","","","",""
"apa52701---essence","","APA_52701 - ESSENCE","PORTO","em_construcao","ALMA DEVLOPMENT","T1 / T2 / T3 / T4","2026","3","2026","","","Apartamentos T1/T2/T3/T4
Só está internamente","https://almadevelopment.pt/essence-porto/?utm_source=google&utm_medium=cpc&utm_campaign=ESSENCE%20-%20Max%20Desempenho%20PT&utm_id=20981436680&gad_source=1","41.15882699232601","-8.584600847512442","1","[{""title"":""Informação"",""type"":""pdf"",""url"":""https://s.craft.me/al78sKXSXP9K8W""}]","","","",""
"apa53307---nobel-41-85","","APA_53307 - NOBEL 41-85","PORTO","em_construcao","RISE GROUP","T2 | T3","2026","12","2026","","","Apartamentos T2/T3","https://www.risegroup.pt/pt/empreendimentos/nobel-41-85_2/","41.16005727191822","-8.584020180438936","1","[]","","","",""
